unique_id,isco88_cg_4,occupation_en,task_en,employer_en,product_en
AS10064_2,1227,manag,compani loan,hong kong bank shanghai,1bank1
AS10064_3,1227,manag,compani loan,hong kong bank shenzhen,bank
AS10065_1,4111,offic staff,offic staff,excelsior ship compani,transport compani
AS10065_2,4111,offic staff,offic staff,merrison garment compani,cloth compani
AS10065_3,4111,offic staff,offic staff,dotex co ltd,cloth compani
AS10065_4,4111,offic staff,offic staff,w nm co ltd,cloth compani
AS10066_1,8122,steel worker,melt iron,steel manufactur,iron make
AS10067_1,4111,offic staff,document handl,mattel trade limit,ship affair
AS10067_2,4111,offic staff,document handl,qijiang commerci compani,ship affair
AS10067_3,4111,offic staff,document handl,liyumen commerci compani,ship affair
AS10067_4,4111,offic staff,document handl,weiy cloth rack factori,ship affair make cloth rack
AS10069_1,7311,telescop manufactur,scope,wangj compani,electr compani
AS10069_2,4111,offic staff,offic staff,air condition compani,produc air condition
AS10069_3,4111,offic staff,offic staff,project compani,project compani
AS10069_4,4111,offic staff,agent offic staff,transport servic,transport
AS10069_5,4111,offic staff,agent boat offic staff,indian agent ship,agent
AS10069_6,4111,offic staff,offic staff,skate shoe,skate shoe compani
AS10069_7,4111,offic staff,offic staff,wax plant,wax maker
AS10069_8,4111,offic staff,offic staff,electr applianc compani,electr compani
AS10070_1,3152,qualiti control,qualiti control,electr compon compani,electr compon conductor
AS10070_2,4111,offic manag,offic document handl,dakuaihuao fast food,fast food
AS10070_3,4111,offic staff,offic document handl,construct compani,build build
AS10070_4,4111,offic staff,offic document handl,real estat compani,real estat
AS10071_1,9153,manag,time,fuchang rough textil compani,rough spin
AS10072_1,8283,assembl,assembl compon,kuiyong electron compani,produc radio
AS10072_2,9322,warehous keeper,pack,kuiyong electron compani,produc radio
AS10072_3,5161,lifeguard,give firstaid,fire depart,give firstaid
AS10072_4,5220,busi manag,sale,yijiao ltd,clean product wholesal
AS10072_5,3439,properti manag,manag build employe,quantai commerci build,merchandis build
AS10074_1,9152,properti manag,offic build manag,real estat compani,rent build
AS10075_1,6111,farm,farm,farmer,farmer farm rice
AS10075_2,9132,clean worker,provid clean,clean compani,build clean compani
AS10075_3,5123,backman,worker,restaur,restaur
AS10076_1,7411,meat cutter,cut frozen meat,asian banguan,supermarket
AS10076_2,1210,boss,sale make watch,shanghan electr watch factori,make watch
AS10076_3,7233,technician,make machin compon,shenzhen nantou watch jewelri,make jewelri
AS10076_4,1210,director factori,manag,dongguan railway station watch,make watch
AS10076_5,1210,boss,manag,dongguan changan watch,make watch
AS10076_6,5169,safeguard,manag build,donghua sanyuan properti build,properti build
AS10076_7,1222,manag,product manag,hejun toy compani,make toy
AS10076_8,5169,safeguard,manag build,hong secur servic compani,provid safeguard servic
AS10077_1,4111,import export offic,offic staff,gilman co ltd,merchandis
AS10077_2,4111,offic staff,offic staff,ici china ltd,chemic raw materi compani
AS10077_3,3439,inventori control supervisor,manag,jebsen co ltd,commerci
AS10077_4,1224,oper manag,manag,johnson johnson,health care product
AS10077_5,1235,region distribut manag,manag,monsanto co ltd,chemic compani
AS10077_6,1210,director,manag,dfs hong kong ltd,duti free product
AS10079_1,4111,offic staff,handl document,quchenshi group,commerci compani
AS10079_2,4111,offic staff,handl document,commerci compani,commerci busi
AS10079_3,4111,offic staff,handl inner document,zhonghuan commerci compani,trade compani
AS10079_4,4111,offic staff,handl inner document,jishazui commerci compani,trade
AS10079_5,4115,secretari,handl inner document,educ bureau,manag hong kong educ
AS10080_1,8322,taxi driver,taxi driver,selfemploy,transport
AS10080_2,8324,truck driver,truck driver porter,selfemploy,transport
AS10080_3,8323,taxi driver,taxi driver,min bus,transport
AS10081_1,2331,teacher,teach,primari school,primari school
AS10081_2,5161,firefight,firefight,fire bureau,wanzai fire bureau
AS10081_3,5161,firefight,offic staff,fire depart,fire bureau
AS10082_1,7231,mini bus mainten,repair,safe transport,repair minibus
AS10082_2,7137,electr technician,electrician,yingguang electr,electrician
AS10082_3,8324,truck driver,driver,selfemploy,transport
AS10084_1,5220,salesman,salesman,electron compani,household applianc
AS10084_2,1210,factori director,compani director,glue compani,produc glue
AS10084_3,1210,boss,boss manag,glue compani,produc glue
AS10084_4,1210,boss,boss manag,build hous,construct compani
AS10085_1,2221,doctor,doctor,clinc,clinic
AS10085_2,5123,build,build servic,restaur,food dine
AS10085_3,4111,writter,offic staff,properti manag,properti manag compani
AS10086_1,7124,carpent redecor,carpent,selfemploy,indoor decor
AS10087_1,4111,offic staff,offic staff,datong machin sale compani,machin repair
AS10087_2,7233,machin technician,repair machin,meya aluminum,make aluminum
AS10087_3,1222,hardwar technician,manag,santai hardwar,hardwar compon
AS10087_4,3141,shipyard work,fix boat,friendship shipyard,fix boat
AS10089_1,9133,dine hall staff,kitchen,zhongshan wireless factori,electr compon process
AS10089_2,1210,noodl restaur,manag,selfemploy,food drink
AS10090_1,5220,salesman,sale good,photograph store,dri film servic
AS10090_2,9151,document deliv,deliv document,hongdahong construct compani,sale construct materi
AS10091_1,5220,light web,light web,hardwar shop,hardwar
AS10091_2,8261,rough textil,rough spin,knit factori,spin factori
AS10092_1,7311,water maker technician,technician,electr watch plant,produc watch
AS10092_2,4121,offic staff,sale good account,jingyi retail,retail
AS10092_3,4111,offic staff,offic staff,mayermay lawyer,saw consult
AS10094_1,6110,farm,farm land,luotian,farm
AS10095_1,7313,apprentic make gold jewelri,apprentic,dont know,gold jewelri factori
AS10095_2,5123,build,deliv dish write order,feicui palac,restaur
AS10095_3,5123,build,write order deliv dish manag,fulihua restaur,food depart
AS10095_4,5123,build,deliv dish write order,tea hous,food
AS10095_5,4142,sort letter,sort letter,post offic,post offic
AS10096_1,3152,qualiti control,qualiti control,fengjian electr applianc factori,record
AS10096_2,7241,repair household applianc,repair applianc,selfemploy,repair applianc
AS10096_3,7135,aluminum window,instal aluminum window,jiancheng project,instal aluminum window
AS10096_4,5123,build,deliv dish worker,pawang jade,restaur
AS10097_1,2411,auditor,account,norman b cheung co,account
AS10097_2,2411,director account,account,huailao communiti servic,communiti servic
AS10097_3,2411,director account,account,paul construct co,build
AS10097_4,4121,account,account,denway motor co,auto part
AS10099_1,7137,electrician apprentic,electrician drill hole wall,apprentic,electrician indoor decor
AS10099_2,7231,repair bus,repair buse,jiu bus,bus servic
AS10099_3,7231,repair bus,repair bus,citi bus,bus servic
AS10100_1,9132,multith worker,handl routin affair,jintai yuan commerci compani,sale blood pressur control medicin
AS10100_2,2331,teacher,teach,caigang elementari school,teach work
AS10100_3,7432,worker,teach worker make spin product,mauritius spin factori,make spin product
AS10100_4,4111,offic staff,handl document,baosheng cloth factori,make sport pant
AS10100_5,2331,teacher,teach,yongyuan primari school,educ
AS10100_6,2230,student nurs,learn nurs,nurs school,train nurs student
AS10100_7,2230,nurs,provid health care nurs servic,macuo hygen station,provid health care servic
AS10101_1,7332,figur carv,carv,daxin elephon teeth compani,ivori carv
AS10101_2,5123,build servic,build,restaur,food servic
AS10102_1,6110,farm,farm,farm,farmer farm veget rice
AS10102_2,7124,carpent,carpent,construct compani,build civil compani
AS10102_3,6111,farm,farm,farm,grow veget rice
AS10102_4,5122,kitchen,chef,tea hous,food servic
AS10104_1,8260,technician,studi make spin product,textil mill hong kong,make spin cloth
AS10104_2,8260,technician,make spin product,sw knit factori,make spin product
AS10105_1,7433,sew,cloth make,cloth factori,make cloth
AS10105_2,9132,clean worker,clean worker,food compani,food compani
AS10105_3,9132,clean worker,clean worker,confer servic,confer servic
AS10106_1,6153,fisherman,fish,fish,fish
AS10106_2,8283,worker,assembl compon,huangzhukeng electr applianc factori,radio product
AS10106_3,6153,fisherman,fish,fish,fish
AS10109_1,5141,apprentic,learn hairdress,haitao hairdress,hairdress
AS10109_2,7340,apprentic,learn print,hong kong zai print compani,print servic
AS10109_3,7245,apprentic,learn oper telephon,teleconfer yingk compani,telephon oper servic
AS10110_1,2230,nurs,registr,zhonghuan medicin affair offic,psychiatri clinic
AS10110_2,2230,nurs,dental surgeri assist,zhonghua dental clinic,dental clinic
AS10110_3,2230,nurs,doctor assist,tongluowan clinic,general clinic
AS10110_4,2230,nurs,doctor assist,zhonghuan medicin affair offic,famili dental doctor
AS10111_1,3434,data analysi,summar fruit price data,shanghuan account compani,report fruit price wholesal
AS10111_2,5220,salesman,sale electr compon,tegao trade compani,wholesal electr compon
AS10111_3,5123,water bar worker,charg make drink,meisi restaur,western restaur
AS10112_1,4111,offic staff,handl document,kuifang project compani,provid clean servic ship
AS10112_2,8221,technician,make perfum,quanwan perfum compani,compani make perfum
AS10112_3,3439,load offic,supervis load luggag cargo,thai airlin,provid airlin servic
AS10112_4,3439,cargo offic,supervis load cargo,singapor airlin,provid airlin servic
AS10112_5,3415,cargo sale,promot servic cargo transport,singapor airlin,provid airlin servic
AS10114_1,1210,watch maker boss,make watch boss work,watch compani,watch
AS10115_1,8283,assembl compon,assembl compon,comput factori,comput factori
AS10115_2,8263,machin sew worker,sew,cloth factori,cloth factori
AS10115_3,4211,cashier,cashier,laundri,laundri
AS10115_4,3415,salesman,salesman,promot electr applianc,telephon compani
AS10115_5,3121,technician,technician,comput factori,comput factori
AS10115_6,5123,build,build,restaur,food servic
AS10115_7,9132,clean worker build,build clean,airport,airlin
AS10116_1,2331,teacher,teacher,washington aberdeen primari school,provid educ servic
AS10116_2,2310,teacher,teacher,grace harbour colleg,provid educ servic
AS10116_3,2320,teacher,teacher,st martin school,educ work
AS10116_4,2310,teacher,teacher,olympia communiti colleg,provid educ servic
AS10116_5,2310,teacher,teacher,univers alaska,provid educ servic
AS10117_1,4122,handl stock document,handl stock document,stock compani,stock compani
AS10117_2,5220,salesman,salesman,japanes cargo compani,japanes cargo compani
AS10117_3,5220,sale jewelri,sale jewelri,jingfu gold compani,jingfu gold compani
AS10117_4,3413,real estat agent,real estat agent,real estat compani,real estat compani
AS10117_5,4122,handl stock document,handl stock document,stock compani,stock compani
AS10119_1,7436,worker,made jacket buckl,wash garment factori,produc cloth
AS10119_2,5220,salesperson,sell sea food,yungshun sea food restaur,sell sea food
AS10119_3,9312,porter,construct worker,contract compani,construct
AS10119_4,9132,janitor,clean school dorm,kowhay elementari school,educ work
AS10120_1,5141,hair stylist,hair stylist,hair salon,hair salon
AS10120_2,4112,order,comput offic work,fashion hand bag export sale,export busi
AS10121_1,5122,chef,chef,food servic,food servic
AS10121_2,4115,general affair,general affair,fda,fda
AS10121_3,9132,clean worker,clean worker,clean factori,clean compani
AS10122_1,7432,knit cloth,knit sweater,cloth factori,cloth factori
AS10122_2,6111,farm,grow rice,farm,farmer farm
AS10122_3,9133,wash dish,wash dish,restaur,restaur
AS10122_4,9133,handyman,handyman,fast food restaur,fast food restaur
AS10124_1,9312,construct worker,construct project work,construct compani,construct project work
AS10125_1,9322,manufactur worker,handyman,plastic compani,plastic factori
AS10125_2,9111,sale food,sale food,retail,retail
AS10125_3,9312,construct worker,handyman,construct compani,construct compani
AS10125_4,5169,safeguard,safeguard,safeguard compani,safeguard compani
AS10126_1,9312,construct field worker,construct worker,construct compani,build build
AS10126_2,8284,make toy,make toy,hardwar compani,hardwar shop
AS10126_3,7129,instal,instal,construct compani,construct compani
AS10127_1,7432,spin cotton cloth,spin cloth,cloth spin factori,cloth factori
AS10127_2,8262,cotton cloth,cotton,spin factori,cotton spin factori
AS10127_3,8283,electr,electr compon,dongnanya electr applianc compani,dongnanya electr applianc
AS10129_1,6110,plant veget rice,grow veget rice,farm,farm
AS10129_2,5122,chef,chef,farm,farm
AS10129_3,6112,make glue,press,farmer glue make industri,farmer glue make industri
AS10129_4,8263,sew cloth,sew cloth,famili sew,famili sew
AS10129_5,2332,teacher,teacher,kindergarten,kindergarten
AS10129_6,5122,chef,chef,shengfa shoe factori,shengfa shoe factori
AS10129_7,9312,construct worker,construct worker,construct compani,construct compani
AS10130_1,9322,handyman,knit porter,government unit,spin
AS10131_1,4111,offic staff,offic staff,publish hous,publish
AS10131_2,4111,offic staff,offic staff,shenpei primari school,school
AS10131_3,4111,offic staff,offic staff,kindergarten,school
AS10131_4,5220,selfemploy,salesman cashier,store,retail
AS10132_1,6110,farmland,farm,farm,govern own busi
AS10132_2,7332,embroideri,embroideri,privat compani,embroideri
AS10132_3,9322,pack watch,pack box,pack compani,pack watch
AS10132_4,9132,clean group,clean offic build,clean compani,clean compani
AS10132_5,5169,safeguard,wuyuan safeguard,safeguard,safeguard
AS10134_1,6110,plant rice farmland,farm,farm,farm
AS10134_2,9162,empti poop,empti poop,selfemploy,empti poop
AS10134_3,5123,sale snack,sale snack,meixin restaur,food
AS10135_1,4111,offic staff,administr work,paraen ent,trade
AS10135_2,3429,sale,sale,pccw,telecommun
AS10135_3,3416,asst merchant,purchas,ka co,china
AS10135_4,3429,sale,sale,tvb pay vision,tv station
AS10135_5,3429,sale,sale,pccw,telecommun
AS10136_1,4111,offic staff,offic staff,everhairpiec factori,produc hairpiec
AS10136_2,4111,offic staff,offic staff,air cargo transport co,transport
AS10136_3,4111,offic staff,offic staff,govern,public affair
AS10137_1,2132,softwara engin,nan,solectron compani,contract manufactur
AS10137_2,2132,busi analyst,nan,flextron compani,contract manactur
AS10137_3,2132,softwara engin,nan,printroom compani,photo storag paint
AS10139_1,8224,print worker,photo,hubei print hous,photo
AS10140_1,8283,technician,produc electr fan,bimei electron applianc compani,produc electr fan
AS10140_2,8284,technician,make stove,chengchang hardwar factori,produc stove
AS10140_3,8283,technician,make electr compon,yuchang hardwar,make electr compon
AS10140_4,8320,transport worker,deliv cargo,jingtai paper product factori,make paper
AS10140_5,4111,offic assist,document receiv distribut,daxin bank,bank busi
AS10140_6,5169,safeguard,safeguard work,kuix wuyuan,safeguard servic
AS10140_7,5169,safeguard,safeguard work,jinhua build,safeguard servic
AS10141_1,2148,surveyor,survey land,xisong construct compani,provid construct project servic
AS10141_2,3112,plumber,supervis project,xisong construct compani,provid construct project servic
AS10142_1,8124,technician,produc copper wire,guangzhou copper wire compani,produc copper wire
AS10142_2,8211,technician,make watch belt,dengfenji watch compani,make watch belt
AS10142_3,9132,clean maid,clean school hous take care younger children,baoliangjv childcar center,nurs children servic
AS10142_4,9132,ward handyman,clean ward,renji hospit,provid medic servic
AS10144_1,5149,waiter guid tabl,guid guest tabl,nangong theatr,provid movi servic
AS10144_2,5122,chef,charg cook depart,dafugui restaur,provid food servic
AS10144_3,5122,chef,charg cook depart,dakengdong restaur,provid food servic
AS10144_4,5122,chef,charg cook depart,kuix din hall,provid food servic
AS10145_1,8151,polish worker,polish worker,yishi cloth factori,yishi cloth factori
AS10145_2,4111,offic staff,offic staff,sanyo electr compani,sanyo motor compani
AS10145_3,8324,truck driver,truck driver,sanyo motor compani,sanyo motor compani
AS10145_4,8324,truck driver,truck driver,yaozhong glue factori,glue factori
AS10145_5,8324,truck driver,truck driver,shengx transport compani,transport industri
AS10145_6,8324,truck driver,truck driver,qiji transport compani,transport
AS10145_7,8324,truck driver,truck driver,selfemploy,selfown transport compani
AS10146_1,2144,machin design,draw line,fuzhou wireless applianc compani,produc radio
AS10146_2,8283,assembl worker,machin,beijiao watson japan electr factori,produc radio record
AS10146_3,8283,assembl worker,assembl compon,ceyuyong electr factori,electr toy factori
AS10147_1,4111,administr offic,offic staff,agenc volunt servic,encourag peopl volunt
AS10147_2,1229,programm manag,charg human resourc oper compani,citi redondo beach,occup retrain jobhunt assist institut
AS10149_1,4143,market administr,check insur document,aiu aiu insur compani,provid insur servic
AS10149_2,1239,manag,manag document guard build,fucheng properti manag agenc,properti manag servic
AS10149_3,1239,manag,handl document guard facil build,iss iss facil manag compani,facil manag compani
AS10149_4,1231,manag,manag handl document,soni soni hong kong compani,sale electron product
AS10149_5,1239,manag,manag administr work,jardin matheson limit,manag oper subcompani
AS10150_1,5122,water bar worker,drinkserv coke meal,chines univers staff restaur,provid meal servic
AS10150_2,5123,water bar worker,drinkserv,restaur,provid meal servic
AS10150_3,5169,secur guard,guard build secur,chiayi branch taichung veteran general hospit,commerci build
AS10150_4,5169,secur guard,guard build secur,chow shing kee commerci build,commerci build
AS10151_1,8262,technician,make textil,danan spin factori,spin factori
AS10151_2,8262,technician,make sweater,tianx sweater factori,make sweater
AS10151_3,3152,qualiti control,supervis qualiti wool product,meijia wool spin ltd co,make wool product
AS10151_4,5121,linen room assist,count supervis amount cloth sheet,kaiyu restaur,provid lodg servic
AS10151_5,7433,linen room tailor,resiz cloth,junxu restaur,provid lodg servic
AS10152_1,4111,offic staff,charg document deliveri,yongheng bank,provid financi servic
AS10152_2,3433,account,charg oper financi balanc,holiday travel mart,provid tourism servic
AS10152_3,3433,account,charg oper financi balanc,allnippon air servic compani ltd,provid airlin servic
AS10156_1,8281,apprentic,clean compon assembl,changshawan machin factori,make compon
AS10156_2,3132,projector oper,movi theatr oper,dongfang theatr,theatr
AS10156_3,5122,apprentic,kitchen,jinbao restaur,restaur
AS10156_4,5122,chef,chef,bail restaur,restaur
AS10156_5,5122,chef,chef,meixin restaur,restaur
AS10157_2,8263,repair towel,repair towel,guantang towel factori,make towel
AS10159_1,5220,apprentic salesman,sell,jewelri citi compani,sale watch jewelri
AS10159_2,1210,boss,purchas sale watch,jianshazui watch compani,sale watch
AS10159_3,9112,retail,salesman,retail,salesman
AS10159_4,3439,supervisor,supervis workshop,wangjiao night club,kprovid karaok servic
AS10159_5,4190,distributor,distribut order veget,xihuan veget whole sale market,veget wholesal
AS10160_1,1210,boss,handl administr work compani,yuen hing hong compani limit,plastic glue raw materi agent import export wholesal
AS10161_1,8262,technician,make knit cloth,lixin knit mill,make knit cloth
AS10162_1,8263,sew femal worker,make cloth,changshawan cloth factori,make cloth
AS10166_1,8263,sew,sew,garment factori,garment factori
AS10166_2,4222,custom servic,custom servic,jockey club,jockey club
AS10166_3,4222,custom servic,custom servic,jockey club,jockey club
AS10167_1,6110,farmer,farmer,farm,farmer
AS10167_2,5123,floor attend,floor attend,sanduocai restaur,restaur
AS10167_3,9132,cleaner,cleaner,taizi sauna bath,taizi sauna bath
AS10167_4,5123,floor attend,floor attend,chunh restaur,chunh restaur
AS10167_5,5123,floor attend,floor attend,wanzai restaur,restaur
AS10169_1,8273,flour worker,flour,flour mill,flour mill
AS10169_2,1224,manag,manag product,kowloon food manag,kowloon food manag
