[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bme001/20225898/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_projector.bias', 'vocab_transform.bias', 'vocab_transform.weight', 'vocab_layer_norm.bias', 'vocab_projector.weight', 'vocab_layer_norm.weight']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
[0]	validation_0-merror:0.64762	validation_0-mlogloss:5.21166	validation_1-merror:0.71191	validation_1-mlogloss:5.29934
[32]	validation_0-merror:0.18497	validation_0-mlogloss:1.96070	validation_1-merror:0.48737	validation_1-mlogloss:3.09145
[33]	validation_0-merror:0.18076	validation_0-mlogloss:1.92102	validation_1-merror:0.48654	validation_1-mlogloss:3.06810
[34]	validation_0-merror:0.17693	validation_0-mlogloss:1.88234	validation_1-merror:0.48626	validation_1-mlogloss:3.04471
[35]	validation_0-merror:0.17254	validation_0-mlogloss:1.84487	validation_1-merror:0.48571	validation_1-mlogloss:3.02332
[36]	validation_0-merror:0.16875	validation_0-mlogloss:1.80876	validation_1-merror:0.48543	validation_1-mlogloss:3.00227
[37]	validation_0-merror:0.16515	validation_0-mlogloss:1.77343	validation_1-merror:0.48515	validation_1-mlogloss:2.98155
[38]	validation_0-merror:0.16182	validation_0-mlogloss:1.73922	validation_1-merror:0.48598	validation_1-mlogloss:2.96099
[39]	validation_0-merror:0.15739	validation_0-mlogloss:1.70582	validation_1-merror:0.48793	validation_1-mlogloss:2.94139
[40]	validation_0-merror:0.15416	validation_0-mlogloss:1.67355	validation_1-merror:0.48598	validation_1-mlogloss:2.92323
[41]	validation_0-merror:0.15083	validation_0-mlogloss:1.64200	validation_1-merror:0.48626	validation_1-mlogloss:2.90531
[42]	validation_0-merror:0.14792	validation_0-mlogloss:1.61106	validation_1-merror:0.48515	validation_1-mlogloss:2.88752
[43]	validation_0-merror:0.14561	validation_0-mlogloss:1.58139	validation_1-merror:0.48238	validation_1-mlogloss:2.86985
[44]	validation_0-merror:0.14256	validation_0-mlogloss:1.55223	validation_1-merror:0.48265	validation_1-mlogloss:2.85297
[45]	validation_0-merror:0.13933	validation_0-mlogloss:1.52349	validation_1-merror:0.48099	validation_1-mlogloss:2.83637
[46]	validation_0-merror:0.13595	validation_0-mlogloss:1.49564	validation_1-merror:0.48099	validation_1-mlogloss:2.82040
[47]	validation_0-merror:0.13281	validation_0-mlogloss:1.46876	validation_1-merror:0.48182	validation_1-mlogloss:2.80465
[48]	validation_0-merror:0.13046	validation_0-mlogloss:1.44236	validation_1-merror:0.48043	validation_1-mlogloss:2.78974
[49]	validation_0-merror:0.12704	validation_0-mlogloss:1.41660	validation_1-merror:0.47988	validation_1-mlogloss:2.77483
[50]	validation_0-merror:0.12376	validation_0-mlogloss:1.39126	validation_1-merror:0.47849	validation_1-mlogloss:2.76057
[51]	validation_0-merror:0.12210	validation_0-mlogloss:1.36671	validation_1-merror:0.47738	validation_1-mlogloss:2.74601
[52]	validation_0-merror:0.11928	validation_0-mlogloss:1.34296	validation_1-merror:0.47738	validation_1-mlogloss:2.73247
[53]	validation_0-merror:0.11701	validation_0-mlogloss:1.31968	validation_1-merror:0.47682	validation_1-mlogloss:2.71831
[54]	validation_0-merror:0.11475	validation_0-mlogloss:1.29684	validation_1-merror:0.47599	validation_1-mlogloss:2.70469
[55]	validation_0-merror:0.11253	validation_0-mlogloss:1.27484	validation_1-merror:0.47571	validation_1-mlogloss:2.69144
[56]	validation_0-merror:0.10953	validation_0-mlogloss:1.25290	validation_1-merror:0.47433	validation_1-mlogloss:2.67882
[57]	validation_0-merror:0.10731	validation_0-mlogloss:1.23146	validation_1-merror:0.47322	validation_1-mlogloss:2.66603
[58]	validation_0-merror:0.10505	validation_0-mlogloss:1.21086	validation_1-merror:0.47322	validation_1-mlogloss:2.65365
[59]	validation_0-merror:0.10292	validation_0-mlogloss:1.19056	validation_1-merror:0.47294	validation_1-mlogloss:2.64173
[60]	validation_0-merror:0.10135	validation_0-mlogloss:1.17075	validation_1-merror:0.47183	validation_1-mlogloss:2.62995
[61]	validation_0-merror:0.09918	validation_0-mlogloss:1.15126	validation_1-merror:0.47127	validation_1-mlogloss:2.61841
[62]	validation_0-merror:0.09766	validation_0-mlogloss:1.13215	validation_1-merror:0.47044	validation_1-mlogloss:2.60718
[63]	validation_0-merror:0.09507	validation_0-mlogloss:1.11366	validation_1-merror:0.47016	validation_1-mlogloss:2.59622
[64]	validation_0-merror:0.09327	validation_0-mlogloss:1.09554	validation_1-merror:0.47016	validation_1-mlogloss:2.58518
[65]	validation_0-merror:0.09147	validation_0-mlogloss:1.07793	validation_1-merror:0.46905	validation_1-mlogloss:2.57442
[66]	validation_0-merror:0.08985	validation_0-mlogloss:1.06049	validation_1-merror:0.46961	validation_1-mlogloss:2.56385
[67]	validation_0-merror:0.08814	validation_0-mlogloss:1.04354	validation_1-merror:0.46905	validation_1-mlogloss:2.55397
[68]	validation_0-merror:0.08671	validation_0-mlogloss:1.02682	validation_1-merror:0.46878	validation_1-mlogloss:2.54361
[69]	validation_0-merror:0.08482	validation_0-mlogloss:1.01034	validation_1-merror:0.46683	validation_1-mlogloss:2.53373
[70]	validation_0-merror:0.08278	validation_0-mlogloss:0.99423	validation_1-merror:0.46683	validation_1-mlogloss:2.52400
[71]	validation_0-merror:0.08158	validation_0-mlogloss:0.97861	validation_1-merror:0.46600	validation_1-mlogloss:2.51448
[72]	validation_0-merror:0.08020	validation_0-mlogloss:0.96316	validation_1-merror:0.46572	validation_1-mlogloss:2.50500
[73]	validation_0-merror:0.07863	validation_0-mlogloss:0.94811	validation_1-merror:0.46572	validation_1-mlogloss:2.49610
[74]	validation_0-merror:0.07761	validation_0-mlogloss:0.93348	validation_1-merror:0.46628	validation_1-mlogloss:2.48701
[75]	validation_0-merror:0.07636	validation_0-mlogloss:0.91914	validation_1-merror:0.46545	validation_1-mlogloss:2.47848
[76]	validation_0-merror:0.07465	validation_0-mlogloss:0.90494	validation_1-merror:0.46545	validation_1-mlogloss:2.46977
[77]	validation_0-merror:0.07322	validation_0-mlogloss:0.89094	validation_1-merror:0.46517	validation_1-mlogloss:2.46134
[78]	validation_0-merror:0.07211	validation_0-mlogloss:0.87741	validation_1-merror:0.46461	validation_1-mlogloss:2.45282
[79]	validation_0-merror:0.07091	validation_0-mlogloss:0.86423	validation_1-merror:0.46406	validation_1-mlogloss:2.44471
[80]	validation_0-merror:0.06902	validation_0-mlogloss:0.85124	validation_1-merror:0.46239	validation_1-mlogloss:2.43669
[81]	validation_0-merror:0.06786	validation_0-mlogloss:0.83842	validation_1-merror:0.46211	validation_1-mlogloss:2.42871
[82]	validation_0-merror:0.06680	validation_0-mlogloss:0.82596	validation_1-merror:0.46128	validation_1-mlogloss:2.42080
[83]	validation_0-merror:0.06578	validation_0-mlogloss:0.81363	validation_1-merror:0.46073	validation_1-mlogloss:2.41339
[84]	validation_0-merror:0.06477	validation_0-mlogloss:0.80156	validation_1-merror:0.46073	validation_1-mlogloss:2.40562
[85]	validation_0-merror:0.06398	validation_0-mlogloss:0.78973	validation_1-merror:0.45989	validation_1-mlogloss:2.39841
[86]	validation_0-merror:0.06296	validation_0-mlogloss:0.77821	validation_1-merror:0.46073	validation_1-mlogloss:2.39102
[87]	validation_0-merror:0.06227	validation_0-mlogloss:0.76686	validation_1-merror:0.45962	validation_1-mlogloss:2.38409
[88]	validation_0-merror:0.06130	validation_0-mlogloss:0.75570	validation_1-merror:0.45934	validation_1-mlogloss:2.37736
[89]	validation_0-merror:0.06029	validation_0-mlogloss:0.74488	validation_1-merror:0.45878	validation_1-mlogloss:2.37048
[90]	validation_0-merror:0.05945	validation_0-mlogloss:0.73402	validation_1-merror:0.45934	validation_1-mlogloss:2.36370
[91]	validation_0-merror:0.05853	validation_0-mlogloss:0.72345	validation_1-merror:0.45795	validation_1-mlogloss:2.35695
[92]	validation_0-merror:0.05765	validation_0-mlogloss:0.71318	validation_1-merror:0.45740	validation_1-mlogloss:2.35043
[93]	validation_0-merror:0.05677	validation_0-mlogloss:0.70296	validation_1-merror:0.45684	validation_1-mlogloss:2.34374
[94]	validation_0-merror:0.05636	validation_0-mlogloss:0.69304	validation_1-merror:0.45795	validation_1-mlogloss:2.33740
[95]	validation_0-merror:0.05493	validation_0-mlogloss:0.68327	validation_1-merror:0.45767	validation_1-mlogloss:2.33127
[96]	validation_0-merror:0.05400	validation_0-mlogloss:0.67367	validation_1-merror:0.45767	validation_1-mlogloss:2.32497
[97]	validation_0-merror:0.05308	validation_0-mlogloss:0.66441	validation_1-merror:0.45795	validation_1-mlogloss:2.31877
[98]	validation_0-merror:0.05229	validation_0-mlogloss:0.65514	validation_1-merror:0.45712	validation_1-mlogloss:2.31271
[99]	validation_0-merror:0.05128	validation_0-mlogloss:0.64599	validation_1-merror:0.45712	validation_1-mlogloss:2.30665
[100]	validation_0-merror:0.05086	validation_0-mlogloss:0.63709	validation_1-merror:0.45573	validation_1-mlogloss:2.30113
[101]	validation_0-merror:0.04994	validation_0-mlogloss:0.62829	validation_1-merror:0.45573	validation_1-mlogloss:2.29542
[102]	validation_0-merror:0.04892	validation_0-mlogloss:0.61983	validation_1-merror:0.45545	validation_1-mlogloss:2.28954
[103]	validation_0-merror:0.04818	validation_0-mlogloss:0.61151	validation_1-merror:0.45518	validation_1-mlogloss:2.28436
[104]	validation_0-merror:0.04730	validation_0-mlogloss:0.60315	validation_1-merror:0.45490	validation_1-mlogloss:2.27890
[105]	validation_0-merror:0.04638	validation_0-mlogloss:0.59500	validation_1-merror:0.45462	validation_1-mlogloss:2.27353
[106]	validation_0-merror:0.04550	validation_0-mlogloss:0.58716	validation_1-merror:0.45490	validation_1-mlogloss:2.26830
[107]	validation_0-merror:0.04481	validation_0-mlogloss:0.57927	validation_1-merror:0.45462	validation_1-mlogloss:2.26319
[108]	validation_0-merror:0.04412	validation_0-mlogloss:0.57161	validation_1-merror:0.45296	validation_1-mlogloss:2.25794
[109]	validation_0-merror:0.04329	validation_0-mlogloss:0.56409	validation_1-merror:0.45268	validation_1-mlogloss:2.25294
[110]	validation_0-merror:0.04282	validation_0-mlogloss:0.55662	validation_1-merror:0.45268	validation_1-mlogloss:2.24794
[111]	validation_0-merror:0.04227	validation_0-mlogloss:0.54946	validation_1-merror:0.45323	validation_1-mlogloss:2.24308
[112]	validation_0-merror:0.04153	validation_0-mlogloss:0.54236	validation_1-merror:0.45351	validation_1-mlogloss:2.23848
[113]	validation_0-merror:0.04093	validation_0-mlogloss:0.53520	validation_1-merror:0.45323	validation_1-mlogloss:2.23355
[114]	validation_0-merror:0.04033	validation_0-mlogloss:0.52837	validation_1-merror:0.45296	validation_1-mlogloss:2.22886
[115]	validation_0-merror:0.03996	validation_0-mlogloss:0.52146	validation_1-merror:0.45101	validation_1-mlogloss:2.22443
[116]	validation_0-merror:0.03917	validation_0-mlogloss:0.51480	validation_1-merror:0.45185	validation_1-mlogloss:2.22012
[117]	validation_0-merror:0.03820	validation_0-mlogloss:0.50834	validation_1-merror:0.45101	validation_1-mlogloss:2.21553
[118]	validation_0-merror:0.03751	validation_0-mlogloss:0.50191	validation_1-merror:0.45018	validation_1-mlogloss:2.21102
[119]	validation_0-merror:0.03696	validation_0-mlogloss:0.49545	validation_1-merror:0.45157	validation_1-mlogloss:2.20681
[120]	validation_0-merror:0.03659	validation_0-mlogloss:0.48929	validation_1-merror:0.45240	validation_1-mlogloss:2.20253
[121]	validation_0-merror:0.03589	validation_0-mlogloss:0.48321	validation_1-merror:0.45212	validation_1-mlogloss:2.19858
[122]	validation_0-merror:0.03539	validation_0-mlogloss:0.47726	validation_1-merror:0.45268	validation_1-mlogloss:2.19457
[123]	validation_0-merror:0.03474	validation_0-mlogloss:0.47129	validation_1-merror:0.45157	validation_1-mlogloss:2.19065
[124]	validation_0-merror:0.03455	validation_0-mlogloss:0.46533	validation_1-merror:0.45212	validation_1-mlogloss:2.18696
[125]	validation_0-merror:0.03414	validation_0-mlogloss:0.45956	validation_1-merror:0.45101	validation_1-mlogloss:2.18285
[126]	validation_0-merror:0.03386	validation_0-mlogloss:0.45401	validation_1-merror:0.45185	validation_1-mlogloss:2.17891
[127]	validation_0-merror:0.03317	validation_0-mlogloss:0.44853	validation_1-merror:0.45157	validation_1-mlogloss:2.17502
[128]	validation_0-merror:0.03285	validation_0-mlogloss:0.44313	validation_1-merror:0.45129	validation_1-mlogloss:2.17161
[129]	validation_0-merror:0.03257	validation_0-mlogloss:0.43777	validation_1-merror:0.45074	validation_1-mlogloss:2.16775
[130]	validation_0-merror:0.03220	validation_0-mlogloss:0.43241	validation_1-merror:0.44935	validation_1-mlogloss:2.16406
[131]	validation_0-merror:0.03164	validation_0-mlogloss:0.42719	validation_1-merror:0.45046	validation_1-mlogloss:2.16046
[132]	validation_0-merror:0.03104	validation_0-mlogloss:0.42215	validation_1-merror:0.45018	validation_1-mlogloss:2.15696
[133]	validation_0-merror:0.03058	validation_0-mlogloss:0.41718	validation_1-merror:0.45129	validation_1-mlogloss:2.15356
[134]	validation_0-merror:0.02993	validation_0-mlogloss:0.41214	validation_1-merror:0.45018	validation_1-mlogloss:2.15027
[135]	validation_0-merror:0.02938	validation_0-mlogloss:0.40727	validation_1-merror:0.45074	validation_1-mlogloss:2.14688
[136]	validation_0-merror:0.02887	validation_0-mlogloss:0.40250	validation_1-merror:0.44990	validation_1-mlogloss:2.14377
[137]	validation_0-merror:0.02855	validation_0-mlogloss:0.39774	validation_1-merror:0.44907	validation_1-mlogloss:2.14031
[138]	validation_0-merror:0.02809	validation_0-mlogloss:0.39314	validation_1-merror:0.44990	validation_1-mlogloss:2.13719
[139]	validation_0-merror:0.02763	validation_0-mlogloss:0.38847	validation_1-merror:0.45046	validation_1-mlogloss:2.13393
[140]	validation_0-merror:0.02707	validation_0-mlogloss:0.38394	validation_1-merror:0.44990	validation_1-mlogloss:2.13078
[141]	validation_0-merror:0.02684	validation_0-mlogloss:0.37957	validation_1-merror:0.44963	validation_1-mlogloss:2.12746
[142]	validation_0-merror:0.02652	validation_0-mlogloss:0.37511	validation_1-merror:0.44907	validation_1-mlogloss:2.12451
[143]	validation_0-merror:0.02619	validation_0-mlogloss:0.37086	validation_1-merror:0.44935	validation_1-mlogloss:2.12157
[144]	validation_0-merror:0.02578	validation_0-mlogloss:0.36675	validation_1-merror:0.44935	validation_1-mlogloss:2.11878
[145]	validation_0-merror:0.02541	validation_0-mlogloss:0.36266	validation_1-merror:0.44963	validation_1-mlogloss:2.11552
[146]	validation_0-merror:0.02490	validation_0-mlogloss:0.35854	validation_1-merror:0.44879	validation_1-mlogloss:2.11246
[147]	validation_0-merror:0.02467	validation_0-mlogloss:0.35449	validation_1-merror:0.44879	validation_1-mlogloss:2.10963
[148]	validation_0-merror:0.02416	validation_0-mlogloss:0.35052	validation_1-merror:0.44796	validation_1-mlogloss:2.10695
[149]	validation_0-merror:0.02379	validation_0-mlogloss:0.34658	validation_1-merror:0.44907	validation_1-mlogloss:2.10424
[150]	validation_0-merror:0.02356	validation_0-mlogloss:0.34272	validation_1-merror:0.44852	validation_1-mlogloss:2.10156
[151]	validation_0-merror:0.02324	validation_0-mlogloss:0.33891	validation_1-merror:0.44907	validation_1-mlogloss:2.09872
[152]	validation_0-merror:0.02305	validation_0-mlogloss:0.33520	validation_1-merror:0.44824	validation_1-mlogloss:2.09611
[153]	validation_0-merror:0.02273	validation_0-mlogloss:0.33156	validation_1-merror:0.44824	validation_1-mlogloss:2.09372
[154]	validation_0-merror:0.02254	validation_0-mlogloss:0.32787	validation_1-merror:0.44768	validation_1-mlogloss:2.09110
[155]	validation_0-merror:0.02222	validation_0-mlogloss:0.32431	validation_1-merror:0.44824	validation_1-mlogloss:2.08839
[156]	validation_0-merror:0.02190	validation_0-mlogloss:0.32084	validation_1-merror:0.44907	validation_1-mlogloss:2.08591
[157]	validation_0-merror:0.02153	validation_0-mlogloss:0.31734	validation_1-merror:0.44935	validation_1-mlogloss:2.08302
[158]	validation_0-merror:0.02134	validation_0-mlogloss:0.31397	validation_1-merror:0.45018	validation_1-mlogloss:2.08064
[159]	validation_0-merror:0.02097	validation_0-mlogloss:0.31058	validation_1-merror:0.44935	validation_1-mlogloss:2.07846
[160]	validation_0-merror:0.02060	validation_0-mlogloss:0.30726	validation_1-merror:0.44963	validation_1-mlogloss:2.07623
[161]	validation_0-merror:0.02019	validation_0-mlogloss:0.30395	validation_1-merror:0.44824	validation_1-mlogloss:2.07372
[162]	validation_0-merror:0.02005	validation_0-mlogloss:0.30077	validation_1-merror:0.44824	validation_1-mlogloss:2.07156
[163]	validation_0-merror:0.01996	validation_0-mlogloss:0.29763	validation_1-merror:0.44796	validation_1-mlogloss:2.06928
[164]	validation_0-merror:0.01973	validation_0-mlogloss:0.29453	validation_1-merror:0.44685	validation_1-mlogloss:2.06697
[165]	validation_0-merror:0.01949	validation_0-mlogloss:0.29151	validation_1-merror:0.44713	validation_1-mlogloss:2.06466
[166]	validation_0-merror:0.01926	validation_0-mlogloss:0.28850	validation_1-merror:0.44713	validation_1-mlogloss:2.06242
[167]	validation_0-merror:0.01871	validation_0-mlogloss:0.28553	validation_1-merror:0.44629	validation_1-mlogloss:2.06033
[168]	validation_0-merror:0.01871	validation_0-mlogloss:0.28254	validation_1-merror:0.44574	validation_1-mlogloss:2.05818
[169]	validation_0-merror:0.01852	validation_0-mlogloss:0.27960	validation_1-merror:0.44629	validation_1-mlogloss:2.05586
[170]	validation_0-merror:0.01825	validation_0-mlogloss:0.27679	validation_1-merror:0.44657	validation_1-mlogloss:2.05409
[171]	validation_0-merror:0.01806	validation_0-mlogloss:0.27403	validation_1-merror:0.44574	validation_1-mlogloss:2.05201
[172]	validation_0-merror:0.01788	validation_0-mlogloss:0.27124	validation_1-merror:0.44685	validation_1-mlogloss:2.05001
[173]	validation_0-merror:0.01774	validation_0-mlogloss:0.26856	validation_1-merror:0.44657	validation_1-mlogloss:2.04805
[174]	validation_0-merror:0.01760	validation_0-mlogloss:0.26591	validation_1-merror:0.44629	validation_1-mlogloss:2.04602
[175]	validation_0-merror:0.01723	validation_0-mlogloss:0.26324	validation_1-merror:0.44546	validation_1-mlogloss:2.04421
[176]	validation_0-merror:0.01695	validation_0-mlogloss:0.26068	validation_1-merror:0.44518	validation_1-mlogloss:2.04215
[177]	validation_0-merror:0.01672	validation_0-mlogloss:0.25814	validation_1-merror:0.44546	validation_1-mlogloss:2.04033
[178]	validation_0-merror:0.01658	validation_0-mlogloss:0.25568	validation_1-merror:0.44657	validation_1-mlogloss:2.03847
[179]	validation_0-merror:0.01640	validation_0-mlogloss:0.25318	validation_1-merror:0.44657	validation_1-mlogloss:2.03672
[180]	validation_0-merror:0.01635	validation_0-mlogloss:0.25073	validation_1-merror:0.44602	validation_1-mlogloss:2.03484
[181]	validation_0-merror:0.01617	validation_0-mlogloss:0.24834	validation_1-merror:0.44546	validation_1-mlogloss:2.03321
[182]	validation_0-merror:0.01603	validation_0-mlogloss:0.24595	validation_1-merror:0.44518	validation_1-mlogloss:2.03148
[183]	validation_0-merror:0.01575	validation_0-mlogloss:0.24359	validation_1-merror:0.44602	validation_1-mlogloss:2.02982
[184]	validation_0-merror:0.01566	validation_0-mlogloss:0.24123	validation_1-merror:0.44518	validation_1-mlogloss:2.02797
[185]	validation_0-merror:0.01552	validation_0-mlogloss:0.23898	validation_1-merror:0.44518	validation_1-mlogloss:2.02631
[186]	validation_0-merror:0.01515	validation_0-mlogloss:0.23666	validation_1-merror:0.44546	validation_1-mlogloss:2.02458
[187]	validation_0-merror:0.01497	validation_0-mlogloss:0.23451	validation_1-merror:0.44518	validation_1-mlogloss:2.02281
[188]	validation_0-merror:0.01488	validation_0-mlogloss:0.23231	validation_1-merror:0.44491	validation_1-mlogloss:2.02106
[189]	validation_0-merror:0.01451	validation_0-mlogloss:0.23019	validation_1-merror:0.44435	validation_1-mlogloss:2.01959
[190]	validation_0-merror:0.01423	validation_0-mlogloss:0.22806	validation_1-merror:0.44491	validation_1-mlogloss:2.01788
[191]	validation_0-merror:0.01404	validation_0-mlogloss:0.22596	validation_1-merror:0.44435	validation_1-mlogloss:2.01610
[192]	validation_0-merror:0.01390	validation_0-mlogloss:0.22394	validation_1-merror:0.44380	validation_1-mlogloss:2.01450
[193]	validation_0-merror:0.01377	validation_0-mlogloss:0.22190	validation_1-merror:0.44463	validation_1-mlogloss:2.01295
[194]	validation_0-merror:0.01372	validation_0-mlogloss:0.21993	validation_1-merror:0.44435	validation_1-mlogloss:2.01139
[195]	validation_0-merror:0.01358	validation_0-mlogloss:0.21789	validation_1-merror:0.44435	validation_1-mlogloss:2.00993
[196]	validation_0-merror:0.01344	validation_0-mlogloss:0.21596	validation_1-merror:0.44324	validation_1-mlogloss:2.00856
[197]	validation_0-merror:0.01330	validation_0-mlogloss:0.21404	validation_1-merror:0.44296	validation_1-mlogloss:2.00696
[198]	validation_0-merror:0.01317	validation_0-mlogloss:0.21212	validation_1-merror:0.44269	validation_1-mlogloss:2.00554
[199]	validation_0-merror:0.01312	validation_0-mlogloss:0.21028	validation_1-merror:0.44241	validation_1-mlogloss:2.00404
[200]	validation_0-merror:0.01284	validation_0-mlogloss:0.20843	validation_1-merror:0.44241	validation_1-mlogloss:2.00257
[201]	validation_0-merror:0.01261	validation_0-mlogloss:0.20667	validation_1-merror:0.44213	validation_1-mlogloss:2.00130
[202]	validation_0-merror:0.01257	validation_0-mlogloss:0.20492	validation_1-merror:0.44269	validation_1-mlogloss:2.00006
[203]	validation_0-merror:0.01233	validation_0-mlogloss:0.20310	validation_1-merror:0.44185	validation_1-mlogloss:1.99875
[204]	validation_0-merror:0.01229	validation_0-mlogloss:0.20134	validation_1-merror:0.44213	validation_1-mlogloss:1.99747
[205]	validation_0-merror:0.01215	validation_0-mlogloss:0.19961	validation_1-merror:0.44185	validation_1-mlogloss:1.99590
[206]	validation_0-merror:0.01206	validation_0-mlogloss:0.19795	validation_1-merror:0.44158	validation_1-mlogloss:1.99465
[207]	validation_0-merror:0.01206	validation_0-mlogloss:0.19627	validation_1-merror:0.44102	validation_1-mlogloss:1.99322
[208]	validation_0-merror:0.01192	validation_0-mlogloss:0.19462	validation_1-merror:0.44130	validation_1-mlogloss:1.99188
[209]	validation_0-merror:0.01183	validation_0-mlogloss:0.19297	validation_1-merror:0.44130	validation_1-mlogloss:1.99060
[210]	validation_0-merror:0.01164	validation_0-mlogloss:0.19143	validation_1-merror:0.44130	validation_1-mlogloss:1.98935
[211]	validation_0-merror:0.01164	validation_0-mlogloss:0.18986	validation_1-merror:0.44074	validation_1-mlogloss:1.98819
[212]	validation_0-merror:0.01146	validation_0-mlogloss:0.18832	validation_1-merror:0.44074	validation_1-mlogloss:1.98695
[213]	validation_0-merror:0.01132	validation_0-mlogloss:0.18677	validation_1-merror:0.44130	validation_1-mlogloss:1.98577
