occid,obsseqnr,bjobcoder,bwhsID,bjobnm,bjobdes,bjobco,bjobcode,bjobcertain
2546218,4176,am,1,admmedewerkster,projectadmboekhoud,ing arch bureau,33120,zeker duidelijk
1620344,2778,am,2,admmedewerksterverkoopmedewerkster,administratie verkop,dameskled bruidskled avondkled,45130,zeker duidelijk
2634557,4339,am,1,admin medewerker,administrastie verzorg,philip,39310,zeker duidelijk
1711083,2911,am,3,admin mw,eenvoud admin werk,uitgeverij,39310,zeker duidelijk
2341751,3827,am,2,adminmedewerkster,debiteurenbeher,diver,33940,zeker duidelijk
1740760,2978,am,3,admininistratief,administratie,bank,39310,zeker duidelijk
1802074,3077,am,1,administrateur,salarisadministratie pensioenfondsadministratie,fotografisch industrie,33930,zeker duidelijk
1802074,3077,am,2,administrateur,administratief werk,verpleeghuis,39310,zeker duidelijk
1802074,3077,am,3,administrateur,administratief werk,groothandel grondstoff gieterij,39310,zeker duidelijk
2146141,3469,am,1,administrateur,boekhoud verwerk,eig bedrijf,33120,zeker duidelijk
2307756,3756,am,1,administrateur,boekhoudinghrmallerlei,groothandelfabrikant,33120,zeker duidelijk
2327062,3798,am,1,administrateur,verzorg gehel administratie,transport ander soort bedrijv,39310,zeker duidelijk
2336832,3820,am,1,administrateur,crediteurenadministratie,aannemer industrie,33940,zeker duidelijk
2452130,4031,am,1,administrateur,hoofd fin adm woningcorporatie vanaf 2002 serviceflat,woningcorporatie,33940,zeker duidelijk
2452130,4031,am,2,administrateur,fin administratie,serviceflat,33940,zeker duidelijk
2507405,4111,am,2,administrateur,administratief werk,diver bedijfstak,39310,zeker duidelijk
2680466,4440,am,3,administrateur,financ administratie,onderwijs hbo,33940,zeker duidelijk
2685515,4452,am,1,administrateur,telefoner beeldschermwerk,installatiebedrijf,39310,zeker duidelijk
2855023,4757,am,3,administrateur,beher deb cred facturaties bankcash beher betal etc,zorginstell,33940,zeker duidelijk
2862486,4772,am,2,administrateur,administratie,metaalgieterij,39310,zeker duidelijk
2862486,4772,am,3,administrateur,administratie,assurantiekantor,39310,zeker duidelijk
3031611,4917,am,1,administrateur,boekhoud,accountantskantor,33110,zeker duidelijk
2464583,4058,am,4,administrateur bgd,organisatorischadministratief,vliegtuigbouwer,39310,zeker duidelijk
2166465,3502,am,6,administrateurpersoneelszak,administratie personel,bouwbedrijf,39310,zeker duidelijk
1770035,3033,am,1,administrateursalarisadministrateur,zelfstand uitvoer financiel salarisadministratie,huisartsenpraktijk,33940,zeker duidelijk
1487561,2553,am,2,administratie,balie adm,kadaster breda,39310,zeker duidelijk
1712730,2918,am,2,administratie,factur order,technisch,33940,zeker duidelijk
1808744,3086,am,3,administratie,administratienotuler,diver schoolbestur,39310,zeker duidelijk
2020705,3273,am,1,administratie,financieel telefonisch onderhoud bedrijv,pbo productschap,33940,zeker duidelijk
2804433,4641,am,2,administratie,administratiev tak,vgl transportbedrijf,39310,zeker duidelijk
2830114,4705,am,2,administratie,administratief,fabriekskantor,39310,zeker duidelijk
2857656,4766,am,3,administratie,administratie vliegtuiggeluid,nlr amsterdam,39310,zeker duidelijk
2448543,4024,am,1,administratie les inhoud,jaarprogramma opstell,volwassenenonderwijs belgie,39310,zeker duidelijk
2811045,4652,am,2,administratie accountant,administratief algemen 2de assistent accountant,accountantskantor,33120,zeker duidelijk
1727217,2952,am,6,administratie keetverzorgster,all voorkom adminstratie schoonmak bouwket,bouwbedrijf,39310,zeker duidelijk
1878683,3218,am,3,administratie medewerker,diver administratiev handel,automatiseringsbedrijf,39310,zeker duidelijk
1501570,2561,am,4,administratie medewerkster,verzend,bkr,39310,zeker duidelijk
3075235,4996,am,1,administratie medewerkster,administratief mak,vervoersondernem,39310,zeker duidelijk
3077154,5000,am,1,administratie thuis uitvoer bedrijf echtgenot,administratief,konstruktiebedrijf,39310,zeker duidelijk
1707053,2905,am,1,administratie verzekeringskantor,typ rekenwerk,assurantie,39310,zeker duidelijk
2710841,4471,am,2,administratiedirectiesecretares,administratie directiesecretares werkzam,grondverzetbedrijf,39310,zeker duidelijk
2366163,3882,am,2,administratiemagazijn medewerker,administratie magazijn werk,handelsondernem,39310,zeker duidelijk
2878402,4815,am,5,administratiesecretarieel medewerkster,administratie,producent kas telmachin roll,39310,zeker duidelijk
1525111,2607,am,1,administratief,posttelefoonboekhoudingklant ontvang,bouwbedrijf,39310,zeker duidelijk
1568874,2702,am,2,administratief,invull cijfer,loi,34220,zeker duidelijk
1568874,2702,am,3,administratief,bank registrer,bank mes hop,39310,zeker duidelijk
1705038,2899,am,1,administratief,verkop telefon computer,grootwinkelbedrijf,39310,zeker duidelijk
1740760,2978,am,2,administratief,administratie,fabriek dieselmotor,39310,zeker duidelijk
1780110,3054,am,1,administratief,administratief,visveil,39310,zeker duidelijk
2601504,4268,am,1,administratief,administratief werk verricht,soc werkvoorzien wet social werkvoorzien,39310,zeker duidelijk
2823602,4692,am,1,administratief,divers admi,non profit organisatie,39310,zeker duidelijk
2830075,4704,am,3,administratief,bureau werkzam,svb,39310,zeker duidelijk
3031312,4914,am,1,administratief,assortimentsbeher,groothandel,39310,zeker duidelijk
3053144,4953,am,4,administratief,admisnistratie,metal,39310,zeker duidelijk
2525175,4139,am,2,administratief bankmedewerkster,balie verzekeringenbedrijv,rabobank,39310,zeker duidelijk
2305372,3749,am,2,administratief mdewerkster,planning,central magazijn bijenkorf,39310,zeker duidelijk
2063182,3339,am,3,administratief mederwerker,administratiev werkzam,postbank nv,39310,zeker duidelijk
3011725,4874,am,3,administratief medeweker,bibliothek post koffie zet briev typ,rijkswaterstat,39310,zeker duidelijk
1531563,2624,am,1,administratief medewerker,beeldschermwerktelefonie,uwvbelastingdienst,39310,zeker duidelijk
1531563,2624,am,3,administratief medewerker,administratie,inkop grot handel optiek horlogerie,39310,zeker duidelijk
1533431,2628,am,5,administratief medewerker,administratie,verzekeringskantor,39310,zeker duidelijk
1542288,2649,am,2,administratief medewerker,boekhoud,meubelzak,33120,zeker duidelijk
1547666,2656,am,1,administratief medewerker,boekhoud,betoncentral,33120,zeker duidelijk
1548843,2661,am,1,administratief medewerker,verkop administratie,groothandel,39310,zeker duidelijk
1551734,2665,am,2,administratief medewerker,administratiev tak,hout bouwhandel,39310,zeker duidelijk
1557777,2677,am,1,administratief medewerker,verzorg orderadministratie,sportwinkel,39310,zeker duidelijk
1557777,2677,am,2,administratief medewerker,verzorg financiel administratie,adviesbureau,33940,zeker duidelijk
1646854,2810,am,4,administratief medewerker,controler ord breng administratie afd kwaliteit milieu,dumeco tegenwoord vion,39310,zeker duidelijk
1661344,2839,am,1,administratief medewerker,po financieel,kuntstof kozijn productie verkop montag,33940,zeker duidelijk
1661344,2839,am,2,administratief medewerker,administraties klant,administratiekantor,39310,zeker duidelijk
1687725,2883,am,1,administratief medewerker,administratiev werkzam,rijksover,39310,zeker duidelijk
1688688,2888,am,1,administratief medewerker,divers,groothandel,39310,zeker duidelijk
1722123,2934,am,1,administratief medewerker,administratie,loonbedrijf,39310,zeker duidelijk
1722123,2934,am,2,administratief medewerker,verwerk boek administraties client,administratiekantor,39310,zeker duidelijk
1722123,2934,am,4,administratief medewerker,invoer control magazijnvoorrad,facturer planning,39310,zeker duidelijk
1732074,2958,am,2,administratief medewerker,nan,nan,39310,zeker duidelijk
1754516,2997,am,1,administratief medewerker,gehel administratie uitgezonderd calculatie,dak montagewerk,39310,zeker duidelijk
1768671,3032,am,2,administratief medewerker,inkooprepro telefonistereceptionist,nederland spoorweg den hag,39310,zeker duidelijk
1780607,3057,am,3,administratief medewerker,boekhoud administratiev tak,autobedrijf,33120,zeker duidelijk
1830338,3126,am,1,administratief medewerker,diver,evenement,39310,zeker duidelijk
1837214,3144,am,2,administratief medewerker,jongst bediend,huishoud artikelenbutagashaard kachel smederij,39310,zeker duidelijk
2005142,3246,am,6,administratief medewerker,voorraadbeher ondersteun binnendienst kasbeher,technisch groothandel,39310,zeker duidelijk
2012522,3257,am,1,administratief medewerker,administratiefacturer,kpn,39310,zeker duidelijk
2068547,3352,am,6,administratief medewerker,administratief,telecommunicatiebedrijf,39310,zeker duidelijk
2068547,3352,am,7,administratief medewerker,administratief,detacher,39310,zeker duidelijk
2068547,3352,am,8,administratief medewerker,administratief,uitzendburo,39310,zeker duidelijk
2077405,3372,am,3,administratief medewerker,administratie,bouwbedrijf,39310,zeker duidelijk
2117744,3426,am,3,administratief medewerker,notuler financiel adm salarisadm,gezondheidscentrum,33940,zeker duidelijk
2120013,3429,am,6,administratief medewerker,diver administratiev werkzam,productiebedrijf,39310,zeker duidelijk
2146141,3469,am,2,administratief medewerker,boekhoud,installatiebedrijf,33120,zeker duidelijk
2146141,3469,am,3,administratief medewerker,leerlingadministratie ilesroostersnkop schoonmak,basisschol,39310,zeker duidelijk
2146141,3469,am,4,administratief medewerker,facturatie,accountantskantor,39310,zeker duidelijk
2202326,3564,am,2,administratief medewerker,administratiereceptie,camping,39310,zeker duidelijk
2251556,3658,am,2,administratief medewerker,boekhoud winkel,eig kledingzak,33120,zeker duidelijk
2265858,3687,am,2,administratief medewerker,ondersteun tak jobcoach,reintgratei bedrijf,39310,zeker duidelijk
2276871,3709,am,3,administratief medewerker,administratiev werkzam,herenmod,39310,zeker duidelijk
2276871,3709,am,5,administratief medewerker,administrateiv werkzam telefonist receptionist ed,divbedrijv oa scheepvaart advocatur,39310,zeker duidelijk
2323143,3785,am,1,administratief medewerker,administratief,personeelszak,39310,zeker duidelijk
2332135,3810,am,1,administratief medewerker,administratie orderverwerk inktverwerk,industriel printmachines,39310,zeker duidelijk
2332418,3811,am,1,administratief medewerker,administratie,gemeent,39310,zeker duidelijk
2385230,3919,am,1,administratief medewerker,pc verwerk gegeven,verpleeghuis,39310,zeker duidelijk
2388573,3926,am,1,administratief medewerker,ales mbt cijfer,intern uitzendbureau ziekenhuis,39310,zeker duidelijk
2423147,3982,am,3,administratief medewerker,administratie declaraties verzekerdenadministratie boekhoud,zorgverzekerar ziekenfond,33940,zeker duidelijk
2426331,3988,am,2,administratief medewerker,administratief werk,rad kinderbescherm,39310,zeker duidelijk
2433024,3999,am,3,administratief medewerker,administratiev werkzam,kleding groothandel,39310,zeker duidelijk
2523102,4136,am,1,administratief medewerker,allerhand administratief werk,metal bedrijf,39310,zeker duidelijk
2548755,4181,am,5,administratief medewerker,medewerker abonnementenadministratie,uitgeverij,39310,zeker duidelijk
2563633,4206,am,5,administratief medewerker,open adviser importexportkrediet,abn amro,33940,zeker duidelijk
2570335,4220,am,1,administratief medewerker,boekhoud,assurantiekantor,33120,zeker duidelijk
2583745,4248,am,2,administratief medewerker,archiefbeher,gemeent,39310,zeker duidelijk
2583745,4248,am,3,administratief medewerker,archiefbeher,gemeent,39310,zeker duidelijk
2603200,4270,am,1,administratief medewerker,financieeladministratiev werkzam,gemeent,33940,zeker duidelijk
2603200,4270,am,2,administratief medewerker,financieeladministratiev werkzam,administratiekantor,33940,zeker duidelijk
2603200,4270,am,3,administratief medewerker,administratiev werkzam,zonweringsbedrijf,39310,zeker duidelijk
2603200,4270,am,4,administratief medewerker,administratiev werkzam,groothandelsbedrijf,39310,zeker duidelijk
2603200,4270,am,5,administratief medewerker,administratiev werkzam,garagebedrijf,39310,zeker duidelijk
2617635,4305,am,2,administratief medewerker,toekenn aow pensioen,social verzekeringsbank,39310,zeker duidelijk
2617635,4305,am,3,administratief medewerker,toekenn aow,social verzekeringsbank,39310,zeker duidelijk
2624211,4319,am,2,administratief medewerker,administratie,over,39310,zeker duidelijk
2663303,4392,am,1,administratief medewerker,gegeven invoer betal regel,doe zak,39310,zeker duidelijk
2677386,4433,am,1,administratief medewerker,verwerk administratiev gegeven,ziekenhuis,39310,zeker duidelijk
2686735,4454,am,1,administratief medewerker,all voorkom administratiev werkzam,drukkerij,39310,zeker duidelijk
2708617,4467,am,2,administratief medewerker,bedrijfsbureau,emaillefabriek,39310,zeker duidelijk
2740528,4526,am,3,administratief medewerker,administratie persoonsgegeven,belastingdienst,39310,zeker duidelijk
2746367,4530,am,1,administratief medewerker,administratie personeelsafdel,zorgverzekerar,39310,zeker duidelijk
2748684,4535,am,5,administratief medewerker,beoordel bezwaarschrift motorrijtuigenbelast over administratiev werkzam,belastingdienst,39310,zeker duidelijk
2753277,4543,am,1,administratief medewerker,administratie gegeven jar verslag schrijv nieuwsbriev artikel opstell bemiddel leerling maatschapp stag,vrijwilligersorganisatie,39310,zeker duidelijk
2766611,4579,am,4,administratief medewerker,administratie,industrie nettenfabriek,39310,zeker duidelijk
2767364,4581,am,2,administratief medewerker,debiteur crediteur adm werkzam,drukkerij,33940,zeker duidelijk
2803850,4637,am,6,administratief medewerker,diver administratiev werkzam,culturel organisatei,39310,zeker duidelijk
2812534,4657,am,2,administratief medewerker,administratief werk typewerk telefon bedien,markt havendienst,39310,zeker duidelijk
2813324,4659,am,2,administratief medewerker,administratiefcomputerwerkzam telefon,verzekeringsbedrijf,39310,zeker duidelijk
2824835,4696,am,1,administratief medewerker,administratief werk,diver,39310,zeker duidelijk
2838734,4725,am,4,administratief medewerker,computerwerk,drent stichting zorg indicaties,34220,zeker duidelijk
2847640,4744,am,1,administratief medewerker,implementer collectiev contract onderhoud relatie intermediair,verzekeringsmaatschappij,33940,zeker duidelijk
2868541,4790,am,1,administratief medewerker,weekloonbereken,textielfabriek,33930,zeker duidelijk
2874674,4805,am,2,administratief medewerker,invoer gegeven computer administratiev handel briev schrijv archiver telefon aannem,klm pensioenfonds,39310,zeker duidelijk
3017155,4882,am,4,administratief medewerker,administratie verkop,verkoopkantor,39310,zeker duidelijk
2202326,3564,am,1,administratief medewerker bewindvoerderskantor,administratief,bewindvoerderskantor,39310,zeker duidelijk
2600134,4260,am,2,administratief medewerker juwelierszak,administratief werk verkoopwerk,juwelierswinkel,39310,zeker duidelijk
2415270,3966,am,1,administratief medewerker eig bedrijf,boekhoud afsprak plann,financieel adviesbureau,33120,zeker duidelijk
1740760,2978,am,1,administratief medewerker gemeent,finacieel administratief,gemeent,33940,zeker duidelijk
2370157,3887,am,3,administratief medewerker klantenservic zorgmakelar,thuiszorg kraamzorg kinderopvang uitzet organisaties opdracht verzeker,zorgmakelar,39310,zeker duidelijk
2754251,4547,am,4,administratief medewerker lev individueel,administratiev werkzam binn verschill polisbeher groep opmak nieuw verzeker voer correspondentie gecomplicee,verzekeringsmaatschappij generali,39310,zeker duidelijk
2370157,3887,am,4,administratief medewerker projectstoffer,offertesopdrachtbevest mak werkbonn stoffeerder telefoonarchief,projectstoffer,39310,zeker duidelijk
2151671,3478,am,3,administratief medewerker regel,administratie uitvoer overheidsregel,ministerie l v,39310,zeker duidelijk
2510608,4117,am,1,administratief medewerkerwebredacteur,administratie webredactie,culturel stichting,39310,zeker duidelijk
2378026,3902,am,2,administratief medewerker,meestal archiefwerk,bank bouw,39310,zeker duidelijk
1723048,2938,am,6,administratief medewerkerster,administratie,leerlingwez,39310,zeker duidelijk
1466138,2516,am,1,administratief medewerkster,inboek afwerk inkoopfaktur,groothandel bouw industrie,39310,zeker duidelijk
1473786,2527,am,1,administratief medewerkster,administratie via computer,auteursrechtenorganisatie,39310,zeker duidelijk
1473786,2527,am,2,administratief medewerkster,administratie via computer,detacheringsbureau,39310,zeker duidelijk
1473786,2527,am,3,administratief medewerkster,administratie via computer,auteursrechtenorganisatie,39310,zeker duidelijk
1473786,2527,am,4,administratief medewerkster,administratie via computer,importeur weegschal,39310,zeker duidelijk
1473786,2527,am,5,administratief medewerkster,telefonisch informatie verstrek mbv computer,reisinformatie centrum,39310,zeker duidelijk
1473786,2527,am,6,administratief medewerkster,administratie via computer,auteursrechtenorganisatie,39310,zeker duidelijk
1480647,2537,am,1,administratief medewerkster,administratief,verkop kantor,39310,zeker duidelijk
1487561,2553,am,1,administratief medewerkster,leerkracht leerlingadm,basisschol,39310,zeker duidelijk
1501570,2561,am,3,administratief medewerkster,faktur,recticel,33940,zeker duidelijk
1511773,2583,am,1,administratief medewerkster,oa financieel administratie leerling,middel schol,33940,zeker duidelijk
1511773,2583,am,2,administratief medewerkster,verwerk binnengekom aktes,kadaster,39310,zeker duidelijk
